model_name,ticker,date,close,buy_1_price,buy_2_price,stop_loss_pct,target_price,basis_buy_1,basis_buy_2,basis_target
price_model_1,META,2026-09-15 00:00:00-04:00,670.239990234375,603.96,510.96,-0.08,700.59,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,TSLA,2026-09-15 00:00:00-04:00,356.5799865722656,352.54,298.32,-0.08,408.95,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),,-0.35,False
price_model_1,AAPL,2026-09-15 00:00:00-04:00,331.3399963378906,318.7,274.91,-0.08,369.7,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),0.2428571428571428,-0.35,False
price_model_1,MSFT,2026-09-15 00:00:00-04:00,497.1199951171875,476.49,352.17,-0.08,552.73,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.7,-0.35,True
price_model_1,GOOGL,2026-09-15 00:00:00-04:00,344.9800109863281,331.01,317.49,-0.08,383.97,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.0809523809523809,-0.35,False
price_model_1,AMZN,2026-09-15 00:00:00-04:00,248.4199981689453,240.97,226.65,-0.08,279.52,폴백: 현재가 -3% (지표 데이터 부족),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.2538461538461538,-0.35,False
price_model_1,NVDA,2026-09-15 00:00:00-04:00,212.1699981689453,205.93,189.8,-0.08,238.88,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),0.4543478260869565,-0.35,False
price_model_1,META,2026-09-15 00:00:00-04:00,670.239990234375,603.96,510.96,-0.08,700.59,50일 이동평균,볼린저 하단(20일),손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.7,-0.35,True
price_model_1,TSLA,2026-09-15 00:00:00-04:00,356.5799865722656,352.54,298.32,-0.08,408.95,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.2538461538461538,-0.35,False
price_model_1,AAPL,2026-09-16 00:00:00-04:00,332.4100036621094,319.14,274.91,-0.08,370.21,50일 이동평균,60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),0.2428571428571428,-0.35,False
price_model_1,MSFT,2026-09-16 00:00:00-04:00,490.2999877929688,478.1,352.17,-0.08,554.59,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.7,-0.35,True
price_model_1,GOOGL,2026-09-16 00:00:00-04:00,342.8699951171875,331.01,317.49,-0.08,383.97,볼린저 하단(20일),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.0809523809523809,-0.35,False
price_model_1,AMZN,2026-09-16 00:00:00-04:00,245.9600067138672,238.58,226.65,-0.08,276.75,폴백: 현재가 -3% (지표 데이터 부족),60일 최저가,손절가 대비 리스크 x2.0 (stop_loss_pct=-8.0%),-0.2538461538461538,-0.35,False
